Text,Class,Sign,ASD,char_len,word_len,sent_len,polarity,subjectivity,exclaimation_num,questionmark_num,url_num,hash_num,mention_num,contraction_num
their expression of empathy might be authentic and heartfelt even if different from what is conventionally expected,Emotional Empathy+,+,Non-ASD,116,19,2,0.1,0.6875,0,0,0,0,0,1
their expression of empathy might be genuine and heartfelt even if it is not as visible or conventional,Emotional Empathy+,+,Non-ASD,104,20,2,0.08571428571428573,0.6190476190476191,0,0,0,0,0,1
their finger movements could be a form of creative expression allowing them to explore their imagination and ideas,Finger Movements-,+,Non-ASD,116,20,2,0.5,1.0,0,0,0,0,0,0
their finger movements could serve as a self soothing mechanism helping them cope with anxiety or stress,Finger Movements-,+,Non-ASD,106,18,2,0.0,0.0,0,0,0,0,0,0
their finger movements might act as a self regulation technique helping them manage emotions or anxiety,Finger Movements-,+,Non-ASD,105,17,2,0.0,0.0,0,0,0,0,0,0
their finger movements might represent a form of creative expression allowing them to explore and express themselves uniquely,Finger Movements-,+,Non-ASD,127,20,2,0.4375,1.0,0,0,0,0,0,0
their finger movements might serve as a self soothing mechanism helping them regulate emotions or calm themselves when feeling anxious,Finger Movements-,+,Non-ASD,136,21,2,0.025000000000000022,0.875,0,0,0,0,0,0
their finger movements might serve as a self soothing mechanism helping them regulate emotions or cope with anxiety,Finger Movements-,+,Non-ASD,117,19,2,0.0,0.0,0,0,0,0,0,0
their fixation on arranging toys in a specific way might make it hard for them to play with other toddler ren peers may not understand or join in their play,Toy Arranging-,-,ASD,157,31,2,-0.1388888888888889,0.34722222222222215,0,0,0,0,0,0
their focus on arranging toys in a specific way might make it hard for them to engage in shared play with other toddler ren peers may not understand their preferences,Toy Arranging-,-,ASD,167,31,2,-0.1388888888888889,0.34722222222222215,0,0,0,0,0,0
their hesitation in sharing offers a unique viewpoint it highlights their individuality and the depth of their thoughts,Sharing Interest+,+,Non-ASD,121,20,2,0.2375,0.5,0,0,0,0,0,0
their intense focus allows for a deep understanding and knowledge in their area of interest potentially leading to expertise or talent,Focused Attention+,-,ASD,136,23,2,0.06666666666666667,0.7999999999999999,0,0,0,0,0,0
their intense focus allows for indepth learning and understanding in their chosen areas of interest potentially leading to expertise and proficiency,Focused Attention+,-,ASD,151,23,2,0.1,1.0,0,0,0,0,0,0
their intense focus allows them to develop a deep understanding and expertise in their area of interest,Focused Attention+,-,ASD,104,18,1,0.1,0.7,0,0,0,0,0,0
their intense focus can fuel passion and commitment potentially leading to perseverance and success in their chosen field,Focused Attention+,-,ASD,123,20,2,0.16666666666666666,0.6666666666666666,0,0,0,0,0,0
their intense focus can fuel their passion and commitment driving them to excel and achieve in their chosen field,Finger Movements-,+,Non-ASD,115,21,2,0.2,1.0,0,0,0,0,0,0
their intense focus can fuel their passion and commitment fostering dedication and determination to pursue their goals,Focused Attention+,-,ASD,120,19,2,0.2,1.0,0,0,0,0,0,0
their intense focus can lead to in depth knowledge and expertise in specific subjects fostering unique skills or talents,Attention Respanse+,+,Non-ASD,122,20,2,0.19166666666666665,0.7083333333333334,0,0,0,0,0,0
their intense focus can translate into dedication and passion which could foster perseverance and commitment in pursuing their interests,Focused Attention+,-,ASD,138,21,2,0.2,1.0,0,0,0,0,0,0
their intense focus might cause them to overlook other important subjects or learning opportunities affecting their overall education,Focused Attention+,+,Non-ASD,135,20,2,0.11875000000000001,0.59375,0,0,0,0,0,0
their intense focus might lead to neglecting other important subjects or areas of learning impacting their overall education,Focused Attention+,+,Non-ASD,126,20,2,0.11875000000000001,0.59375,0,0,0,0,0,0
their intense focus might lead to overlooking other essential learning opportunities or subjects affecting their overall education,Focused Attention+,+,Non-ASD,132,19,2,0.018750000000000003,0.41875,0,0,0,0,0,0
their intense focus might make it challenging to participate in conversations or group activities leading to social isolation or feeling left out,Focused Attention+,+,Non-ASD,147,24,2,0.18333333333333332,0.5166666666666667,0,0,0,0,0,0
their intense focus might make it difficult for them to engage in social interactions that do not align with their interests impacting their ability to build relationships,Focused Attention+,+,Non-ASD,172,29,2,-0.08888888888888889,0.688888888888889,0,0,0,0,0,1
their intense focus might make it difficult for them to engage in social interactions that do not align with their interests potentially impacting their ability to form friendships,Focused Attention+,+,Non-ASD,181,30,2,-0.06666666666666667,0.7666666666666667,0,0,0,0,0,1
their intense focus might make social interactions difficult as they may find it challenging to engage in conversations or activities that deviate from their interests,Focused Attention+,+,Non-ASD,168,26,1,0.058333333333333334,0.7666666666666666,0,0,0,0,0,0
their intense focus might make social interactions difficult as they might struggle to engage in conversations or activities that do not align with their interests,Focused Attention+,+,Non-ASD,165,27,2,-0.08888888888888889,0.6888888888888888,0,0,0,0,0,0
their intense focus on specific interests can be nurtured to develop expertise potentially leading to exceptional skills or careers,Attention Respanse+,+,Non-ASD,133,21,2,0.21666666666666667,0.78125,0,0,0,0,0,0
their intense focus on specific interests often reflects deep knowledge and passion it is incredible to witness their dedication,Sharing Interest+,+,Non-ASD,129,21,2,0.275,0.60625,0,0,0,0,0,1
their limited demonstration of emotional empathy might affect their ability to connect deeply with others leading to challenges informing friendships and relationships,Emotional Empathy+,-,ASD,170,25,2,-0.023809523809523808,0.3976190476190477,0,0,0,0,0,0
their limited display of emotional empathy might affect their ability to form deep connections impacting friendships and relationships,Emotional Empathy+,-,ASD,136,20,2,-0.023809523809523808,0.3976190476190477,0,0,0,0,0,0
their limited display of emotional empathy might hinder their ability to connect deeply with others affecting their relationships and friendships,Emotional Empathy+,-,ASD,147,22,2,-0.023809523809523808,0.3976190476190477,0,0,0,0,0,0
their reaction to change might affect their ability to adapt in social situations making it harder for them to participate in group activities or new environments,Change Reaction-,-,ASD,164,28,2,0.023232323232323226,0.17373737373737375,0,0,0,0,0,0
their reaction to change might affect their social interactions making it harder for them to comfortably engage in new situations,Change Reaction-,-,ASD,131,22,2,0.11742424242424243,0.3303030303030303,0,0,0,0,0,0
their reaction to change might impact their social interactions hindering their ability to comfortably engage in new environments or situations,Change Reaction-,-,ASD,145,22,2,0.1898989898989899,0.4404040404040404,0,0,0,0,0,0
their reaction to change might impact their social interactions making it harder to comfortably engage in new activities or environments,Change Reaction-,-,ASD,138,22,2,0.11742424242424243,0.3303030303030303,0,0,0,0,0,0
their reaction to change might impact their social interactions making it harder to engage comfortably in new activities or environments,Change Reaction-,-,ASD,138,22,2,0.023232323232323226,0.17373737373737375,0,0,0,0,0,0
their reaction to change might impact their social interactions making it harder to engage in new activities or environments comfortably,Change Reaction-,-,ASD,138,22,2,0.11742424242424243,0.3303030303030303,0,0,0,0,0,0
their reluctance to share interests might lead to social isolation peers may find it hard to engage or relate to my toddler,Sharing Interest+,-,ASD,125,24,2,-0.12916666666666668,0.30416666666666664,0,0,0,0,0,0
their reluctance to share interests might lead to social isolation peers may find it hard to engage or relate to my toddler,Sharing Interest+,-,ASD,125,24,2,-0.12916666666666668,0.30416666666666664,0,0,0,0,0,0
their reluctance to share might indicate a need for comfort and security it is a way for them to feel safe in their own space,Sharing Interest+,+,Non-ASD,126,27,2,0.55,0.75,0,0,0,0,0,1
their strong attachment to arranging toys in a specific way might hinder their ability to play cooperatively with other toddler ren peers might not understand or join in their play,Toy Arranging-,-,ASD,181,31,2,0.10277777777777776,0.41111111111111115,0,0,0,0,0,0
their struggle to display emotional empathy might affect their ability to build and maintain deep connections with peers and family members,Emotional Empathy+,-,ASD,140,22,1,0.0,0.525,0,0,0,0,0,0
their struggle to express emotional empathy might hinder their ability to connect deeply with others potentially affecting their friendships and relationships,Emotional Empathy+,-,ASD,160,23,2,0.0,0.6833333333333332,0,0,0,0,0,0
their struggle to follow pointing gestures could lead to missing out on important social cues affecting their ability to engage effectively in conversations,Follow Pointing+,-,ASD,158,25,2,0.20833333333333331,0.4791666666666667,0,0,0,0,0,0
their struggle to follow pointing gestures might lead to missing out on social cues impacting their ability to participate actively in conversations or activities,Follow Pointing+,-,ASD,164,26,2,-0.10000000000000002,0.2388888888888889,0,0,0,0,0,0
their struggle to follow pointing gestures might make it challenging for them to pick up social cues impacting their ability to engage in conversations and activities,Follow Pointing+,-,ASD,168,28,2,0.26666666666666666,0.5333333333333333,0,0,0,0,0,0
their tiptoe flapping might draw unwanted attention or make it hard for them to blend in with peers other toddler ren might not understand or accept this behavior,Tiptoe Flapping-,-,ASD,163,29,2,-0.20833333333333334,0.4583333333333333,0,0,0,0,0,0
their tiptoe flapping often happens when they are happy or excited it is a visible way for them to express their emotions,Tiptoe Flapping-,+,Non-ASD,121,24,2,0.5875,0.875,0,0,0,0,0,2
their unique communication style offers a different perspective enabling meaningful connections with individuals who understand their way of communication,Follow Pointing+,+,Non-ASD,156,21,2,0.24375,0.525,0,0,0,0,0,0
their unique way of communication offers a different perspective allowing for meaningful connections with individuals who understand their communication style,Follow Pointing+,+,Non-ASD,160,22,2,0.24375,0.525,0,0,0,0,0,0
their way of communicating might be different but it is still valid and meaningful in expressing themselves,Eye Contact+,-,ASD,108,19,2,0.25,0.55,0,0,0,0,0,1
their way of expressing empathy could be authentic and sincere albeit different from societal expectations,Emotional Empathy+,+,Non-ASD,108,17,2,0.3333333333333333,0.6166666666666667,0,0,0,0,0,0
their way of expressing empathy might be genuine and heartfelt albeit different from what society expects,Emotional Empathy+,+,Non-ASD,107,18,2,0.13333333333333333,0.7000000000000001,0,0,0,0,0,0
there might be a social stigma attached to using sign language my toddler could face judgment or exclusion from those unfamiliar with or insensitive to alternative forms of communication,Sharing Interest+,-,ASD,188,31,2,0.03333333333333333,0.06666666666666667,0,0,0,0,0,0
there might be a social stigma attached to using sign language my toddler could face judgment or exclusion from those unfamiliar with or insensitive to alternative forms of communication,Sign Communication+,-,ASD,188,31,2,0.03333333333333333,0.06666666666666667,0,0,0,0,0,0
there is a concern about potential social stigma attached to using sign language my toddler might face judgment or exclusion from those unfamiliar with or insensitive to alternative forms of communication,Sharing Interest+,-,ASD,205,33,2,0.016666666666666666,0.5333333333333333,0,0,0,0,0,1
there is a fear of societal stigma or misunderstanding surrounding repetitive behaviors which could lead to judgment or exclusion,Repetitive Behavior-,-,ASD,130,21,2,-0.25,0.25,0,0,0,0,0,1
there is a societal expectation for constant eye contact and my toddler is inability to maintain it might lead to social stigma or judgment,Eye Contact+,+,Non-ASD,139,26,2,0.016666666666666666,0.19999999999999998,0,0,0,0,0,2
there is an expectation for overt emotional responses and my toddler is challenge in conveying empathy might result in social isolation or feelings of being misunderstood,Emotional Empathy+,-,ASD,170,28,2,0.016666666666666666,0.35833333333333334,0,0,0,0,0,2
there is immense pressure for visible emotional responses and my toddler is challenge in displaying empathy might lead to social exclusion or misconceptions,Emotional Empathy+,-,ASD,156,25,2,0.011111111111111112,0.5722222222222222,0,0,0,0,0,2
there is societal pressure for consistent eye contact and my toddler is difficulty in maintaining it might lead to social judgment or exclusion,Eye Contact+,+,Non-ASD,143,25,2,0.14166666666666666,0.15833333333333333,0,0,0,0,0,2
there is societal pressure for visible emotional expressions and my toddler is challenge in showing empathy might lead to misunderstandings or social isolation,Emotional Empathy+,-,ASD,159,25,2,0.016666666666666666,0.35833333333333334,0,0,0,0,0,2
there is societal pressure to express emotions visibly and my toddler is challenge in doing so might lead to misunderstandings or social exclusion,Emotional Empathy+,-,ASD,146,25,2,0.03333333333333333,0.06666666666666667,0,0,0,0,0,2
these behaviors provide comfort and predictability to my toddler offering a sense of security and familiarity,Repetitive Behavior-,+,Non-ASD,111,18,2,0.0,0.0,0,0,0,0,0,0
they find it hard to switch attention from one task to another impacting their ability to adapt to changing situations or instructions,Attention Respanse+,-,ASD,136,24,2,-0.2916666666666667,0.5416666666666666,0,0,0,0,0,0
they find it hard to switch their attention from one task to another leading to frustration and making it tough for them to adapt to changes,Attention Respanse+,-,ASD,142,28,2,-0.3402777777777778,0.6875,0,0,0,0,0,0
they have trouble shifting attention from one task or subject to another leading to frustration and difficulty adapting to new situations,Attention Respanse+,-,ASD,139,23,2,-0.07676767676767678,0.32929292929292925,0,0,0,0,0,0
they may express empathy through actions attentive listening or finding practical ways to assist others,Emotional Empathy+,+,Non-ASD,106,18,3,0.4,0.9,0,0,0,0,0,0
they may express empathy through thoughtful actions attentive listening or finding practical ways to help others,Emotional Empathy+,+,Non-ASD,115,19,3,0.4,0.7,0,0,0,0,0,0
they might be sensitive observers showing empathy through listening offering practical help or providing comfort in their own ways,Emotional Empathy+,+,Non-ASD,134,23,4,0.35,0.95,0,0,0,0,0,0
they might use alternative means to communicate and connect such as listening attentively or using different expressive methods,Eye Contact+,-,ASD,129,20,2,0.30000000000000004,0.75,0,0,0,0,0,0
they might use alternative ways to connect such as listening attentively or expressing themselves through different means,Eye Contact+,-,ASD,123,19,2,0.13333333333333333,0.6666666666666666,0,0,0,0,0,0
they might use different means to connect such as listening attentively or expressing themselves through alternative communication methods,Eye Contact+,-,ASD,140,20,2,0.13333333333333333,0.6666666666666666,0,0,0,0,0,0
they might use other cues such as listening attentively or expressing themselves through different means to connect with people,Eye Contact+,-,ASD,130,22,3,0.06875,0.59375,0,0,0,0,0,0
they notice details that others might miss showcasing a keen eye for specifics and demonstrating a unique perspective,Attention Respanse+,+,Non-ASD,119,20,2,0.375,1.0,0,0,0,0,0,0
they tend to fixate on specific details or interests making it hard to engage in broader or more varied activities,Attention Respanse+,-,ASD,116,22,2,0.06944444444444443,0.38888888888888884,0,0,0,0,0,0
through finger movements they might be exploring different sensations or textures aiding in sensory processing and understanding,Finger Movements-,+,Non-ASD,131,20,3,0.0,0.6,0,0,0,0,0,0
through finger movements they might be exploring different sensations aiding in sensory processing and understanding,Finger Movements-,+,Non-ASD,119,18,3,0.0,0.6,0,0,0,0,0,0
through finger movements they might be exploring different textures or sensations aiding in sensory exploration and processing,Finger Movements-,+,Non-ASD,129,20,3,0.0,0.6,0,0,0,0,0,0
through finger movements they might be exploring different textures or sensations aiding in sensory processing and understanding,Finger Movements-,+,Non-ASD,131,20,3,0.0,0.6,0,0,0,0,0,0
through finger movements they might be exploring textures or sensations aiding in their sensory processing and understanding,Finger Movements-,+,Non-ASD,127,20,3,0.0,0.0,0,0,0,0,0,0
too much information at once can overwhelm them causing shutdowns or avoidance of tasks that require sustained attention,Attention Respanse+,-,ASD,122,20,2,0.2,0.2,0,0,0,0,0,0
too much information or sensory input can overwhelm my toddler causing them to shut down or become hyper focused on certain details hindering their overall understanding,Attention Respanse+,-,ASD,171,28,3,0.06468253968253967,0.2650793650793651,0,0,0,0,0,0
trouble in following pointing might limit their involvement in group activities impacting their social inclusion and opportunities for engagement,Follow Pointing+,-,ASD,147,21,2,-0.05555555555555556,0.12222222222222223,0,0,0,0,0,0
unanticipated loud noise scan disrupt my toddler is routines leading to increased stress and difficulty in regaining their focus or calmness,Noise Sensitivity-,-,ASD,141,23,1,0.1,0.8,0,0,0,0,0,1
understanding and accepting their distinct way of interacting and communicating can create an environment that appreciates diverse communication styles,Follow Pointing+,+,Non-ASD,152,20,1,0.3,0.3,0,0,0,0,0,0
understanding and accepting their unique way of interacting and communicating can create an environment that values diverse communication styles,Follow Pointing+,+,Non-ASD,145,20,1,0.375,1.0,0,0,0,0,0,0
understanding and accepting their unique way of interacting and communicating can foster an environment that values diverse communication styles,Follow Pointing+,+,Non-ASD,145,20,1,0.375,1.0,0,0,0,0,0,0
understanding my toddler is noise sensitivity allows us to provide accommodations such as noise canceling headphones or quiet spaces helping them cope better in noisy environments,Noise Sensitivity-,+,Non-ASD,180,27,1,0.16666666666666666,0.4444444444444444,0,0,0,0,0,1
understanding noise sensitivity allows us to create a supportive environment and provide tools like noise canceling headphones or quiet spaces to help my toddler cope,Noise Sensitivity-,+,Non-ASD,167,25,1,0.25,0.6666666666666666,0,0,0,0,0,0
understanding their triggers and preferences allows me to create personalized strategies to ease the impact of change on my toddler,Change Reaction-,+,Non-ASD,132,21,1,0.0,0.0,0,0,0,0,0,0
understanding their triggers and preferences allows me to create personalized strategies to ease the impact of change on my toddler,Change Reaction-,+,Non-ASD,132,21,1,0.0,0.0,0,0,0,0,0,0
understanding their triggers and preferences allows me to create personalized strategies to ease the impact of change on my toddler,Change Reaction-,+,Non-ASD,132,21,1,0.0,0.0,0,0,0,0,0,0
understanding triggers allows us to create personalized strategies to ease the impact of change on my toddler,Change Reaction-,+,Non-ASD,110,18,1,0.0,0.0,0,0,0,0,0,0
understanding triggers helps create personalized strategies to ease the impact of change on my toddler,Change Reaction-,+,Non-ASD,103,16,1,0.0,0.0,0,0,0,0,0,0
using sign language lessens my toddler is frustration in conveying their needs or feelings promoting a sense of confidence and empowerment,Sign Communication+,+,Non-ASD,139,23,1,0.0,0.0,0,0,0,0,0,1
we are discovering ways to incorporate their repeated words into learning activities it is amazing to see how their engagement increases when we use their preferred words,Word Repetition-,+,Non-ASD,170,29,2,0.6000000000000001,0.9,0,0,0,0,0,2
we are exploring how to incorporate their repeated words into educational activities it is incredible how their engagement and interest soar when we align teaching methods with their preferred words,Word Repetition-,+,Non-ASD,198,32,2,0.575,0.575,0,0,0,0,0,2
we are exploring ways to encourage their interest in arranging toys while gently introducing flexibility it is astonishing how their play and creativity expand when we integrate their preferences,Toy Arranging-,+,Non-ASD,195,31,2,0.35,0.9,0,0,0,0,0,2
we are exploring ways to support and manage tiptoe flapping in different environments it is fascinating how adjusting to their needs positively impacts their engagement,Tiptoe Flapping-,+,Non-ASD,168,27,2,0.3090909090909091,0.6651515151515152,0,0,0,0,0,2
we are finding gentle ways to encourage sharing interests while respecting their comfort it is amazing to see how they open up and engage when approached in the right way,Sharing Interest+,+,Non-ASD,170,32,2,0.27142857142857146,0.6839285714285714,0,0,0,0,0,2
we are finding ways to encourage their interest in arranging toys while gently introducing flexibility it is incredible how their play and creativity expand when we integrate their preferences,Toy Arranging-,+,Non-ASD,192,31,2,0.55,0.8500000000000001,0,0,0,0,0,2
we have discovered that paying attention to their repeated words helps us decode their needs and preferences effectively,Word Repetition-,+,Non-ASD,119,19,1,0.6,0.8,0,0,0,0,0,1
we have found that their repetition helps us understand what they are trying to convey it is become a language of its own enabling smoother interactions,Word Repetition-,+,Non-ASD,151,29,3,0.6,1.0,0,0,0,0,0,3
we have started incorporating their repeated words into learning activities it is fascinating how their engagement and learning improve when we connect with their preferred words,Word Repetition-,+,Non-ASD,177,28,2,0.7,0.8500000000000001,0,0,0,0,0,2
when engaged in a subject of interest my toddler shows remarkable focus often demonstrating incredible attention to detail and in depth understanding,Attention Respanse+,+,Non-ASD,152,24,3,0.49444444444444446,0.6611111111111111,0,0,0,0,0,0
when engaged in something they love their focus is intense and unwavering allowing them to excel in areas of passion,Attention Respanse+,+,Non-ASD,119,23,3,0.35,0.8,0,0,0,0,0,0
when engaged in something they are passionate about their focus and concentration are remarkable allowing for a deep and thorough understanding,Attention Respanse+,+,Non-ASD,145,24,3,0.2333333333333333,0.6666666666666666,0,0,0,0,0,1
when their organized toys are disturbed my toddler can become upset or distressed introducing new toys or changes becomes challenging without causing upset,Toy Arranging-,-,ASD,158,26,3,0.3181818181818182,0.7272727272727273,0,0,0,0,0,0
while not always outwardly shown my toddler might deeply understand and feel emotions expressing empathy in their unique less visible ways,Emotional Empathy+,+,Non-ASD,142,25,4,0.06944444444444445,0.4888888888888889,0,0,0,0,0,0
with proper preparation and a consistent approach my toddler can learn to cope better with changes gradually adapting to new situations,Change Reaction-,+,Non-ASD,138,24,3,0.2215909090909091,0.3261363636363636,0,0,0,0,0,0
